CWUR 2021-2022 Rank,Name
691,Southwest Jiaotong University
692,University of Salamanca
693,Hong Kong Baptist University
694,Isfahan University of Technology
695,University of Debrecen
696,National Chung Hsing University
697,Oswaldo Cruz Foundation
698,Victoria University of Wellington
699,Heriot-Watt University
700,University of Oklahoma Health Sciences Center
701,Inha University
702,University of Crete
703,Kumamoto University
704,Otto von Guericke University Magdeburg
705,King Fahd University of Petroleum and Minerals
706,Northeast Normal University
707,University of Greifswald
708,Indian Institute of Technology Kharagpur
709,Panjab University
710,"University of North Texas, Denton"
711,South China Normal University
712,Taipei Medical University
713,Mississippi State University
714,University of Arkansas for Medical Sciences
715,University of Missouri-Kansas City
716,"Birkbeck, University of London"
717,International School for Advanced Studies
718,Budker Institute of Nuclear Physics of the Siberian Branch of the Russian Academy of Sciences
719,Montana State University - Bozeman
720,University of Angers
721,Yangzhou University
722,Niigata University
723,Qingdao University
724,Central Party School of the Communist Party of China
725,American University of Beirut
726,Kangwon National University
727,"University of Maryland, Baltimore County"
728,Federal University of Santa Catarina
729,University of Massachusetts Boston
730,Bangor University
731,Beijing University of Technology
732,Antioch College
733,Ajou University
734,Army Medical University
735,Tokyo University of Science
736,University of Vigo
737,Beijing University of Posts and Telecommunications
738,University of Alaska Fairbanks
739,Augusta University
740,University of Salento
741,Technical University of Braunschweig
742,Quaid-i-Azam University
743,SUNY Downstate Medical Center
744,Guangdong University of Technology
745,Osaka City University
746,"Northwest University, Xi'an"
747,University of Castilla–La Mancha
748,Kitasato University
749,University of Cyprus
750,"University of the Andes, Colombia"
751,University of Idaho
752,Kent State University
753,Amirkabir University of Technology
754,Nanjing University of Posts and Telecommunications
755,Yerevan Physics Institute
756,University of Essex
757,South China Agricultural University
758,Sejong University
759,Shaanxi Normal University
760,Air Force Medical University
761,University of Wuppertal
762,Institute for Nuclear Research of the Russian Academy of Sciences
763,"Graduate Faculty, General Research Institute For Nonferrous Metals"
764,University of Lübeck
765,Yeungnam University
766,University of Split
767,Centrale Lille Institut
768,University of Girona
769,Örebro University
770,Hohai University
771,Shanxi University
772,University of the Balearic Islands
773,University of Montana
774,Ohio University
775,University of Murcia
776,National Taiwan University of Science and Technology
777,Gwangju Institute of Science and Technology
778,"University of Science, Malaysia"
779,Federal University of Paraná
780,Marche Polytechnic University
781,Belarusian State University
782,Kaohsiung Medical University
783,"University of Natural Resources and Life Sciences, Vienna"
784,Sorbonne Paris Nord University
785,Wenzhou Medical University
786,Northern Illinois University
787,L.D. Landau Institute for Theoretical Physics of the Russian Academy of Sciences
788,"University of Córdoba, Spain"
789,National Sun Yat-sen University
790,University of Patras
791,Norwegian University of Life Sciences
792,Tarbiat Modares University
793,Harbin Medical University
794,University of Hohenheim
795,Guangzhou Medical University
796,University of North Carolina at Charlotte
797,Ain Shams University
798,Carl von Ossietzky University of Oldenburg
799,Gyeongsang National University
800,"China Medical University, PRC"
801,University of Siegen
802,Gustave Eiffel University
803,University of Jinan
804,Beijing Forestry University
805,"Putra University, Malaysia"
806,University of L'Aquila
807,Kindai University
808,Nagasaki University
809,COMSATS University Islamabad
810,Polytechnic University of Bari
811,Brazilian Center for Research in Physics (CBPF)
812,University of Rhode Island
813,"Open University, UK"
814,Carlos III University of Madrid
815,University of Denver
816,National University of Colombia
817,University of Toledo
818,Indian Institute of Technology Kanpur
819,Adam Mickiewicz University in Poznań
820,Shizuoka University
821,University of Basilicata
822,Miami University
823,Jawaharlal Nehru University
824,Old Dominion University
825,University of Concepción
826,Harbin Engineering University
827,University of Alcalá
828,Graz University of Technology
829,Ryerson University
830,Getúlio Vargas Foundation
831,University of Tours
832,"University of Nevada, Las Vegas"
833,Jawaharlal Nehru Centre for Advanced Scientific Research
834,Federico Santa María Technical University
835,Hasselt University
836,University of Messina
837,University of Wrocław
838,Juntendo University
839,Ege University
840,Aberystwyth University
841,Federal University of Pernambuco
842,Benemérita Autonomous University of Puebla
843,Rutgers University–Newark
844,Gazi University
845,University of Alicante
846,Wesleyan University
847,"University of California, Merced"
848,Cranfield University
849,University of Mons
850,University of Louisiana at Lafayette
851,Liverpool John Moores University
852,Ivane Javakhishvili Tbilisi State University
853,Jean Monnet University
854,Sofia University
855,Graduate University for Advanced Studies
856,Banaras Hindu University
857,INSA Toulouse
858,"All India Institute of Medical Sciences, New Delhi"
859,Uniformed Services University of the Health Sciences
860,Indian Institute of Technology Roorkee
861,Northern Arizona University
862,Tomsk State University
863,Technical University of Kaiserslautern
864,University of Luxembourg
865,"City, University of London"
866,Anhui University
867,Murdoch University
868,Chongqing Medical University
869,University of Orléans
870,Southern Illinois University Carbondale
871,Babeș-Bolyai University
872,University of Brasília
873,Henan University
874,University of Brighton
875,Dongguk University
876,National Centre for Nuclear Research
877,University of Insubria
878,University of Akron
879,Hangzhou Normal University
880,Iran University of Science and Technology
881,National Research University Higher School of Economics
882,Shandong University of Science and Technology
883,China Pharmaceutical University
884,National University of Malaysia (UKM)
885,Norwegian School of Economics
886,Portland State University
887,Budapest University of Technology and Economics
888,Jaume I University
889,University of Seoul
890,Gachon University
891,Polytechnic University of Bucharest
892,Peter the Great St. Petersburg Polytechnic University
893,New Mexico State University
894,Nihon University
895,University of Stirling
896,Federal University of ABC
897,University of Hyogo
898,East Carolina University
899,ShanghaiTech University
900,Inje University
901,"University of Technology, Malaysia"
902,Keele University
903,University of Valladolid
904,Michigan Technological University
905,Guangxi University
906,North Dakota State University
907,Ningbo University
908,University of Portsmouth
909,London Business School
910,Institut national de la recherche scientifique
911,Oberlin College
912,Federal University of Viçosa
913,Çukurova University
914,University of Windsor
915,Tokushima University
916,Missouri University of Science and Technology
917,University of Poitiers
918,Paul Valéry University
919,"University of Science and Technology, Korea"
920,Zhejiang Normal University
921,Ulster University
922,Northumbria University
923,Meijo University
924,North-West University
925,Shandong First Medical University & Shandong Academy of Medical Sciences
926,Johannes Kepler University Linz
927,V.A. Engelhardt Institute of Molecular Biology of the Russian Academy of Sciences
928,Pepperdine University
929,Federal University of Ceará
930,Federal University of Pelotas
931,Gabriele d’Annunzio University
932,Ritsumeikan University
933,Claremont McKenna College
934,Makerere University
935,Shiraz University
936,Bucknell University
937,Chungbuk National University
938,Indian Institute of Technology Guwahati
939,"University of the Republic, Uruguay"
940,Bilkent University
941,National University of Córdoba
942,Sanford Burnham Prebys Medical Discovery Institute
943,Medical University of Warsaw
944,Chiang Mai University
945,Khalifa University
946,Mohammed V University
947,Colgate University
948,New Jersey Institute of Technology
949,Lappeenranta University of Technology
950,Tokyo University of Agriculture and Technology
951,University of Regina
952,Tunis El Manar University
953,Anhui Medical University
954,University of Franche-Comté
955,Autonomous University of San Luis Potosí
956,Yanshan University
957,Aston University
958,University of Naples Parthenope
959,Pomona College
960,Qingdao University of Science and Technology
961,Shandong Agricultural University
962,King Juan Carlos University
963,University of Limerick
964,Ehime University
965,University of Memphis
966,Xiangtan University
967,Tokai University
968,Federal University of São Carlos
969,University of Upper Alsace
970,Victoria University
971,University of Sassari
972,University of Texas Rio Grande Valley
973,Ferdowsi University of Mashhad
974,Shandong Normal University
975,Taiyuan University of Technology
976,Wroclaw Medical University
977,Gifu University
